source,target
Farmers need access to agricultural information.,Àwọn àgbẹ̀ nílò oríṣun sí ìròyìn ọ̀gbìn.
Crop insurance protects against natural disasters.,Ìdáàbò bò ọ̀gbìn máa ńdáàbò bo àwọn àgbẹ̀ kúrò nínú àjálù àdáyébá.
Agricultural development requires infrastructure.,Ìdàgbàsókè ọ̀gbìn nílò ìṣàgbékalẹ̀ ẹ̀rọ àjọṣepọ̀.
Farmers implement soil conservation techniques.,Àwọn àgbẹ̀ máa ńṣàgbékalẹ̀ àwọn ọ̀nà ìtọ́jú ilẹ̀.
Agricultural policy affects farming practices.,Òfin ọ̀gbìn ní ipa lórí àwọn àṣà ìroko.
Farmers need land rights for secure investment.,Àwọn àgbẹ̀ nílò ẹ̀tọ́ ilẹ̀ fún ìfisowósínúiṣẹ́ tí ó ní ìdánilójú.
Agricultural production supports food security.,Ìṣelọ́pọ̀ ọ̀gbìn máa ńṣètìlẹ́yìn ìdánilójú oúnjẹ.
Farmers maintain soil fertility through proper management.,Àwọn àgbẹ̀ máa ńmú ìlérí ilẹ̀ wà nípa ìṣàkóso tí ó tọ́.
Agricultural cooperatives strengthen farmers' bargaining power.,Ẹgbẹ́ àwọn àgbẹ̀ máa ńmú agbára ìbáraṣọ̀rọ̀ àwọn àgbẹ̀ lágbára sí i.
Farmers need quality seeds for good harvest.,Àwọn àgbẹ̀ nílò èso tí ó dára fún ìkórè tí ó dára.
Agricultural education improves farming knowledge.,Ẹ̀kọ́ nípa ọ̀gbìn máa ńmú ìmọ̀ ìroko dára sí i.
Farmers manage livestock health through vaccination.,Àwọn àgbẹ̀ máa ńṣàkóso ìlera ẹran-òsìn nípa àbẹ́rẹ́ àjẹsára.
Agroforestry combines trees and crops in the same field.,Ètò àgbẹ̀-igi máa ńṣàdàpọ̀ àwọn igi àti ọ̀gbìn ní oko kan náà.
Organic farming avoids synthetic pesticides and fertilizers.,Ètò ọ̀gbìn aláìlòkémíkà máa ńyẹra fún àwọn ẹlà apakòkòrò àti ajílẹ̀ àfisẹ́dá.
Conservation agriculture protects soil from erosion.,Ètò ọ̀gbìn àtìlẹ́yìntọ́jú máa ńdáàbò bo ilẹ̀ kúrò nínú ilẹ̀ẹ́yìnrì ̣n.
Cassava processing creates various food products.,Ìṣelọ́pọ̀ ẹ̀gẹ́ máa ńṣẹ̀dá onírúurú èsún oúnjẹ.
Crop diseases reduce agricultural productivity.,Àrùn ọ̀gbìn máa ńdín agbára ìṣelọ́pọ̀ ọ̀gbìn kù.
Farmers invest in irrigation during dry seasons.,Àwọn àgbẹ̀ máa ńfi owó sí ìbomirin (ilẹ̀) ní àsìkò ìgbà gbígbẹ.
Agricultural markets provide income for farmers.,Àwọn ojà ọ̀gbìn máa ńpèsè owó wọlé fún àwọn àgbẹ̀.
Soil testing improves fertilizer efficiency.,Ìdánwò ilẹ̀ máa ńmú òye iṣẹ́ ajílẹ̀ dára sí i.
Livestock vaccination prevents disease outbreaks.,Àbẹ́rẹ́ àjẹsára ẹran-òsìn máa ńdènà ìtànkálẹ̀ àrùn.
Agricultural land requires proper management.,Ilẹ̀ ọ̀gbìn nílò ìṣàkóso tí ó tọ́.
Farmers select crops suited to local conditions.,Àwọn àgbẹ̀ máa ńṣàyàn ọ̀gbìn tí ó bá ipò agbègbè mu.
Terraced farming prevents soil erosion on slopes.,Ètò ọ̀gbìn àtẹ̀lẹ̀ máa ńdènà ilẹ̀ẹ́yìnrì ̣n lórí gẹ̀rẹ́.
Agricultural research develops improved varieties.,Ìwádìí ọ̀gbìn máa ńṣàgbékalẹ̀ àwọn irú tí ó dára sí i.
Crop rotation maintains soil fertility.,Ìyípò ọ̀gbìn máa ńmú ìlérí ilẹ̀ wà.
Agricultural training enhances farming skills.,Ẹ̀kọ́ ọ̀gbìn máa ńmú òye iṣẹ́ ìroko pọ̀ sí i.
Farmers control weeds to protect crop yields.,Àwọn àgbẹ̀ máa ńṣàkóso èpò láti dáàbò bo èrè ọ̀gbìn.
Agricultural subsidies reduce production costs.,Ìrànlọ́wọ́ ìjọba fún ọ̀gbìn máa ńdín owó ìṣelọ́pọ̀ kù.
Modern agriculture uses technological innovations.,Ètò ọ̀gbìn òde-òní máa ńlo àwọn àmúdára ìmọ̀-ẹ̀rọ.
Soil conservation maintains agricultural productivity.,Ìtọ́jú ilẹ̀ máa ńmú agbára ìṣelọ́pọ̀ ọ̀gbìn wà.
Weather patterns influence planting decisions.,Ìtò ojú-ọjọ́ ní ipa lórí ìpinnu ìgbìn.
Agricultural extension services educate farmers.,Àwọn iṣẹ́ ìfàṣẹ̀yìntò ọ̀gbìn máa ńkọ́ àwọn àgbẹ̀ lẹ́kọ̀ọ́.
Farmers manage pests using integrated methods.,Àwọn àgbẹ̀ máa ńṣàkóso kòkòrò oko pẹ̀lú àwọn ọ̀nà àṣàdàpọ̀.
Sustainable agriculture protects natural resources.,Ètò ọ̀gbìn aláìlóṣòfò máa ńdáàbò bo àwọn ohun èlò àdáyébá.
Farmers need access to agricultural credit.,Àwọn àgbẹ̀ nílò oríṣun sí àwìn owó ọ̀gbìn.
Agricultural irrigation supplements rainfall.,Ìbomirin (ilẹ̀) ọ̀gbìn máa ńṣe àfikún òjò.
Farmers monitor crop development regularly.,Àwọn àgbẹ̀ máa ńṣàkíyèsí ìdàgbàsókè ọ̀gbìn déédéé.
Agricultural mechanization increases efficiency.,Àṣàfihàn ìmọ̀-ẹ̀rọ nínú ọ̀gbìn máa ńmú òye iṣẹ́ pọ̀ sí i.
Farmers select seeds for specific conditions.,Àwọn àgbẹ̀ máa ńṣàyàn èso fún àwọn ipò pàtó.
Agricultural marketing connects producers and consumers.,Ìpolongo ọ̀gbìn máa ńso àwọn olùṣelọ́pọ̀ àti àwọn olùlò pọ̀.
Farmers maintain farm records for planning.,Àwọn àgbẹ̀ máa ńtọ́jú àkọsílẹ̀ oko fún ètò ṣíṣe.
Agricultural diversification reduces risk.,Onírúurú ọ̀gbìn máa ńdín ewu kù.
Farmers protect livestock from diseases.,Àwọn àgbẹ̀ máa ńdáàbò bo ẹran-òsìn kúrò nínú àrùn.
Agricultural extension officers advise farmers.,Àwọn alábòójútó ìfàṣẹ̀yìntò ọ̀gbìn máa ńgbà àwọn àgbẹ̀ níyànjú.
Farmers select crops based on market demand.,Àwọn àgbẹ̀ máa ńṣàyàn ọ̀gbìn gẹ́gẹ́ bí ìbéèrè ojà.
Agricultural processing adds value to produce.,Ìṣelọ́pọ̀ ọ̀gbìn máa ńfi iye kún èrè oko.
Farmers protect seedlings from harsh weather.,Àwọn àgbẹ̀ máa ńdáàbò bo irúgbìn kúrò nínú ojú-ọjọ́ líle.
Agricultural policy affects farming practices.,Òfin ọ̀gbìn ní ipa lórí àwọn àṣà ìroko.
Farmers improve soil fertility with manure.,Àwọn àgbẹ̀ máa ńmú ìlérí ilẹ̀ dára sí i pẹ̀lú ẹléḅótọ̣.
Agricultural cooperatives strengthen farmers' position.,Ẹgbẹ́ àwọn àgbẹ̀ máa ńmú ipò àwọn àgbẹ̀ lágbára sí i.
Crop rotation reduces pest problems.,Ìyípò ọ̀gbìn máa ńdín ìṣòro kòkòrò oko kù.
Agricultural innovations improve productivity.,Àwọn àmúdára ọ̀gbìn máa ńmú agbára ìṣelọ́pọ̀ dára sí i.
Farmers adapt to changing climate conditions.,Àwọn àgbẹ̀ máa ńṣàdàpọ̀ mọ́ àwọn ìyípadà ipò ojú-ọjọ́.
Agricultural education enhances farming knowledge.,Ẹ̀kọ́ ọ̀gbìn máa ńmú ìmọ̀ ìroko pọ̀ sí i.
Farmers protect crops from extreme weather.,Àwọn àgbẹ̀ máa ńdáàbò bo ọ̀gbìn kúrò nínú ojú-ọjọ́ àárẹ́.
Agricultural insurance protects against losses.,Ìdáàbò bò ọ̀gbìn máa ńdáàbò bo àwọn àgbẹ̀ kúrò nínú ìpadànù.
Farmers implement crop rotation systems.,Àwọn àgbẹ̀ máa ńṣàgbékalẹ̀ àwọn ètò ìyípò ọ̀gbìn.
Agricultural development requires infrastructure.,Ìdàgbàsókè ọ̀gbìn nílò ìṣàgbékalẹ̀ ẹ̀rọ àjọṣepọ̀.
Farmers maintain soil health through conservation.,Àwọn àgbẹ̀ máa ńmú ìlera ilẹ̀ wà nípa ìtọ́jú.
Agricultural marketing ensures fair prices.,Ìpolongo ọ̀gbìn máa ńmú ìdánilójú iye owó tí ó tọ́.
Farmers select appropriate livestock breeds.,Àwọn àgbẹ̀ máa ńṣàyàn àwọn irú ẹran-òsìn tí ó yẹ.
Agricultural training improves farming methods.,Ẹ̀kọ́ ọ̀gbìn máa ńmú àwọn ọ̀nà ìroko dára sí i.
Farmers practice crop diversification.,Àwọn àgbẹ̀ máa ńṣe onírúurú ọ̀gbìn.
Agricultural markets support rural livelihoods.,Àwọn ojà ọ̀gbìn máa ńṣètìlẹ́yìn ìgbé ayé àwọn ìgbèríko.
Farmers produce food for local consumption.,Àwọn àgbẹ̀ máa ńṣelọ́pọ̀ oúnjẹ fún jíjẹ agbègbè.
Water harvesting supports agricultural production.,Ìkórè omi máa ńṣètìlẹ́yìn ìṣelọ́pọ̀ ọ̀gbìn.
Farmers adapt farming practices to local conditions.,Àwọn àgbẹ̀ máa ńṣàdàpọ̀ àwọn àṣà ìroko mọ́ àwọn ipò agbègbè.
Agricultural innovation increases food production.,Àmúdára ọ̀gbìn máa ńmú ìṣelọ́pọ̀ oúnjẹ pọ̀ sí i.
Farmers manage livestock for optimal production.,Àwọn àgbẹ̀ máa ńṣàkóso ẹran-òsìn fún ìṣelọ́pọ̀ tí ó poju.
Agricultural extension improves farming practices.,Ìfàṣẹ̀yìntò ọ̀gbìn máa ńmú àwọn àṣà ìroko dára sí i.
Farmers implement soil conservation measures.,Àwọn àgbẹ̀ máa ńṣàgbékalẹ̀ àwọn ìgbésẹ̀ ìtọ́jú ilẹ̀.
Agricultural productivity supports food security.,Agbára ìṣelọ́pọ̀ ọ̀gbìn máa ńṣètìlẹ́yìn ìdánilójú oúnjẹ.
Farmers use compost to improve soil fertility.,Àwọn àgbẹ̀ máa ńlo ìdọ̀tí ẹlẹ́bọ́ tọ̣́ láti mú ìlérí ilẹ̀ dára sí i.
Agricultural mechanization reduces labor needs.,Àṣàfihàn ìmọ̀-ẹ̀rọ nínú ọ̀gbìn máa ńdín àìní iṣẹ́ ọwọ́ kù.
Farmers protect crops from pest damage.,Àwọn àgbẹ̀ máa ńdáàbò bo ọ̀gbìn kúrò nínú ìbàjẹ́ kòkòrò oko.
Agricultural sustainability preserves resources.,Ìrànlówó ọ̀gbìn máa ńpa àwọn ohun èlò mọ́.
Farmers select appropriate planting times.,Àwọn àgbẹ̀ máa ńṣàyàn àkókò ìgbìn tí ó yẹ.
Agricultural education enhances farm management.,Ẹ̀kọ́ ọ̀gbìn máa ńmú ìṣàkóso oko dára sí i.
Farmers implement integrated pest management.,Àwọn àgbẹ̀ máa ńṣàgbékalẹ̀ ìṣàkóso kòkòrò oko àṣàdàpọ̀.
Agricultural markets connect rural and urban areas.,Àwọn ojà ọ̀gbìn máa ńso àwọn agbègbè ìgbèríko àti ìlú pọ̀.
Farmers maintain crop quality for better prices.,Àwọn àgbẹ̀ máa ńmú ìwà dídára ọ̀gbìn wà fún iye owó tí ó dára sí i.
Agricultural insurance mitigates farming risks.,Ìdáàbò bò ọ̀gbìn máa ńdín àwọn ewu ìroko kù.
Farmers adapt to seasonal weather patterns.,Àwọn àgbẹ̀ máa ńṣàdàpọ̀ mọ́ àwọn ìtò ojú-ọjọ́ ìgbà ọdún.
Agricultural policy supports rural development.,Òfin ọ̀gbìn máa ńṣètìlẹ́yìn ìdàgbàsókè àwọn ìgbèríko.
Farmers implement water conservation practices.,Àwọn àgbẹ̀ máa ńṣàgbékalẹ̀ àwọn àṣà ìtọ́jú omi.
Agricultural research improves crop varieties.,Ìwádìí ọ̀gbìn máa ńmú àwọn irú ọ̀gbìn dára sí i.
Farmers manage livestock health for productivity.,Àwọn àgbẹ̀ máa ńṣàkóso ìlera ẹran-òsìn fún agbára ìṣelọ́pọ̀.
Agricultural marketing ensures profitability.,Ìpolongo ọ̀gbìn máa ńmú ìdánilójú èrè.
Farmers implement sustainable farming practices.,Àwọn àgbẹ̀ máa ńṣàgbékalẹ̀ àwọn àṣà ìroko aláìlóṣòfò.
Biology is the study of living things.,Èkó̩ èdá-oníyè jé̩ èkó̩ ìmò̩-jinlè̩ nípa àwọn èdá gbogbo tó ní ìyè.
"Living things need air, food and water to stay alive.","Àwọn èdá oníyè nílò atég̣ùn, onjẹ àti omi láti wà láàyè."
A living thing is something that is alive.,Èdá oníyè jé̩ nkan tó wà l'áàyè.
Animals are living things that can move around.,Àwọn ẹran jé̩ èda oníyè tó ní agbára láti rìn̩ kiri.
Plants make their own food through photosynthesis.,Àwọn ògbin a máa lo ìtànná láti ṣe ìjẹ.
Cells are the fundamental structural units of plants and animals.,Pádi jé̩ ìpilèṣ̩è̩ ẹyọ ètò-inú àwọn ògbìn àti ẹran.
Evolution is the process by which species change over time.,Itiranya jé̩ ìlànà tí àwọn èdá fi ń yàtọ̀ láti ìran kan dé èkejì.
All living things excrete waste products.,Gbogbo èdá oníyè ni wó̩n nṣe ìkégbin ara wọn.
Living things reproduce to create new individuals of the same kind.,Gbogbo àwọn èdá oníyè ló ní agbára láti ṣèdá irúfé̩ wọn.
Respiration is the process by which living things obtain energy from food.,Ìpòyìdà jé̩ ìlànà tí àwọn èdá oníyè fi ń gba agbára láti inú onjẹ.
Growth is seen in all living things.,Ìdàgbàsókè jẹ́ ohun tí a ń rí nínú gbogbo èdá oníyè.
All living things respond to stimuli in their environment.,Gbogbo àwọn èdá oníyè ló ní agbára láti fura àti láti náání àwọn ìṣesí àgbèègbè wọn.
The cell is the basic unit of life.,Pádi ni ìpilèṣè̩ gbogbo èdá.
Unicellular organisms have only one cell.,Àwọn èdá onípádi kan ní ẹyọ pádi kan ṣoṣo.
Multicellular organisms have many cells.,Àwọn èdá onípádipúpò̩ ní ọ̀pọ̀lọpọ̀ àwọn pádi.
Taxonomy is the classification of living things.,Èkó̩ ìkàsí jé̩ ìpínsípò àwọn èdá oníyè.
The plant kingdom is a major group of living things.,Ìjọ òg̣bìn jé̩ ẹ̀yà pàtàkì nínú àwọn èdá oníyè.
Mitosis is the process of cell division.,Pínpín àgọ́-pádi jé̩ ètò pínpín léṣẹléṣẹ àgọ-pádi ti àwọn onípádi gidi.
Metamorphosis is a change in form during development.,Ìpààrídà jé̩ ìyàtò̩ nínú è̩yà ara àti ìṣesí àwọn ẹranko ní ìgbà tí wó̩n bá ndàgbàsókè.
Reproduction can be sexual or asexual.,Bíbí lè jé̩ ti lákọlábo tàbí ti ògbo.
The animal kingdom is divided into many phyla.,A pín ìjọ ẹran sí ọ̀pọ̀lọpọ̀ agbo-èy̩à.
A species is a group of organisms that can interbreed.,Òw̩ó̩ jé̩ àjọpín àwọn èdá tí wó̩n lè jọ darapò̩ láti bí ọmọ.
Mammals feed their young with milk.,Onírunlára nbó̩ àwọn ọmọ wọn pẹ̀lú wàrà wọn.
Birds have feathers and lay eggs.,Àwọn ẹyẹ ní ìyẹ́ wọn sì máa ń yẹ́ ẹyin.
Reptiles have scales covering their bodies.,Àwọn afàyàfà ní ìpé́ tí ó bo ara wọn.
"The five senses include sight, hearing, smell, taste, and touch.","Àwọn èyà-iyè márààrún ni ìríran, ìgbóṛò̩, ìgbóorun, ìtówò, àti ìfọwókan̩."
Photosynthesis is how plants make food using sunlight.,Ìṣeé̩dà onjẹ pẹ̀lú ìtànná jé̩ bí àwọn ògbìn ṣe ń ṣe onjẹ wọn.
Ecosystems consist of living and non-living components.,Ètò àyíká pè̩lú àwọn èdá oníyè àti àwọn èdá àìníyè.
The nucleus contains the genetic material of the cell.,Àgó̩-pádi ní àwọn èyy atiradiran tí a tò gég̣éḅí okùn-ìran.
The heart pumps blood throughout the body.,Ọkàn ń pọ̀n èjẹ̀ yí ara ká.
The lungs are organs of respiration.,Èdòfóró̩ jé̩ èyà-ara fún ìpòyìdà.
The kidneys filter waste from the blood.,Àwọn iwe a máa ṣèdá ìtò̩ láti inú èjẹ̀.
The digestive system breaks down food into nutrients.,Ètò èdà-onjẹ ara ló nṣe àyípadà onjẹ sí àwọn èròjà.
The nervous system coordinates responses to stimuli.,Ètò Èṣọ Ara ní àwọn pádi kan tó njé̩ ki èdá-oníyè ní ìfura sí àgbèègbè rè̩.
The immune system protects against diseases.,Ètò òkí-ara nṣe ìdáàbò bo ara lówó̩ àwọn àrùn.
The skeletal system provides support for the body.,Ètò àjọ-eegun ara nṣe àgbéró fún ara ẹran.
The integumentary system includes the skin and its appendages.,"Ètò Awọ-ara ní awọ ara pẹ̀lú àwọn ìsògbè mìran bí àwọn irun, èékán àti àwọn ẹṣé̩ òógùn."
The circulatory system transports blood around the body.,Ètò ìṣòw-èjè̩ ̣nṣe ìfiránṣé̩ èjẹ̀ yí ara ká.
The lymphatic system helps fight infections.,Ètò omi-ara nṣe ìdáàbò bo ara ló̩wó̩ àwọn àìsàn.
Hormones are chemical messengers in the body.,Àwọn ojera jé̩ àwọn ẹlà tí a túsílè̩ láti àwọn ẹṣé̩-àìlópo sínú òpó èjè̩.̣
The pituitary gland is known as the master gland.,Ẹṣé̩ ìdí-ọpọlọ jé̩ olórí àwọn ẹṣé̩ ojera.
The reproductive system enables organisms to produce offspring.,Ètò bíbí ara jé̩ ètò àwọn èyà kan nínú àwọn èdá-oníyè tí wó̩n nbá ara ṣiṣé̩ fún bíbí.
The pancreas produces insulin to regulate blood sugar.,Èdò̩-òrónro nṣèdá ìnísúlìn tí ó ń ṣe àtóṣónà oníjẹ̀ inú èjẹ̀.
Muscles work by contracting and relaxing.,Àwọn iṣan ń ṣiṣé̩ nípa fífàsí àti títún ara sílẹ̀.
Bones provide structure and protection for internal organs.,Eegun nṣe ìtójú àti ìdáàbò bo àwọn èyà inú ara.
The brain controls all body functions.,Ọpọlọ jé̩ olùdarí gbogbo àwọn iṣé̩ ara.
Arteries carry oxygenated blood away from the heart.,Àwọn ìṣòw-èjè̩ ̣àlọ gbé èjẹ̀ olóyi-iná kúrò láti ọkàn.
Veins return deoxygenated blood to the heart.,Àwọn ìṣòn-èjè̩ ̣àbò̩ ̣nṣe ìdápadà èjẹ̀ alòyì-iná lọ sí ọkàn.
The liver detoxifies harmful substances in the blood.,Èdò̩ ̣nṣe ìwẹ̀nùmọ́ àwọn ohun olóró inú èjẹ̀.
The excretory system removes waste products from the body.,Ètò ìkégbin ara nṣe ìmúkúrò àwọn ègbin tí àwọn pádi ara ti ṣèdá.
Enzymes are biological catalysts that speed up chemical reactions.,Àwọn ẹnísáìmù jé̩ àwọn aṣètúnṣe tí ó ń mú kí àwọn àṣe ẹlà ṣẹlẹ̀ níṣàrà.
Genetics is the study of heredity and variation.,Èkó̩ ìtàn-ìran jé̩ ìwádìí ìjọsípò àti ìyàtò̩ nínú àwọn èdá.
DNA carries the genetic instructions for development and functioning.,DNA ni ó ń gbé àwọn àṣẹ ìtàn-ìran fún ìdàgbàsókè àti ìṣiṣé̩ àwọn èdá.
Chromosomes are structures that contain DNA.,Àwọn okùn-ìran jé̩ àwọn ètò tí ó ní DNA.
Genes are segments of DNA that determine specific traits.,Àwọn ẹyọ-ìran jé̩ àwọn èka DNA tí ó ń pinnu àwọn àbùdá pàtó.
Adaptation allows organisms to survive in their environment.,Ìmórạ jé̩ ohun tí ó ń jé̩ kí àwọn èdá lè gbé ààyè ní àgbègbè wọn.
Mutations are changes in genetic material.,Ìtipádiyà jé̩ àwọn ìyípàdà nínú àwọn ohun ìtàn-ìran.
Natural selection is the process by which organisms evolve.,Àṣàyàn àdáyébá jé̩ ìlànà tí àwọn èdá fi ń ṣe ìtìranyà.
Homeostasis is the maintenance of stable internal conditions.,Ìfẹsẹ̀múlẹ̀ jé̩ ìṣètọ́jú ètò inú ara ní ìdúró déédé.
Symbiosis is a close relationship between different species.,Àjọṣe jé̩ ìbáṣepọ̀ tímọ́tímọ́ láàrín àwọn òwó̩ tó yàtọ̀ síra.
Carnivores are animals that eat other animals.,Ajẹran jé̩ àwọn ẹranko tí ó ń jẹ àwọn ẹranko mìíràn.
Herbivores are animals that eat plants.,Ajẹèwé jé̩ àwọn ẹranko tí ó ń jẹ àwọn ògbìn.
Omnivores eat both plants and animals.,Ajẹméjì jé̩ àwọn ẹranko tí ó ń jẹ àwọn ògbìn àti ẹran.
Decomposers break down dead organisms.,Awọn adọ̀ngbẹ̀ ń ṣe ìdàgbàṣókè lára àwọn èdá tí ó kú.
Predators hunt and kill other animals for food.,Adigunjalè ń dènà pa àwọn ẹranko mìíràn jẹ.
A food chain shows how energy passes from one organism to another.,Ìṣẹ̀lẹ̀ oúnjẹ ń fihàn bí agbára ṣe ń gba lára èdá kan sí òmíràn.
The water cycle describes the movement of water in the biosphere.,Ètò àyíká omi ní àlàyé nípa ìgbàlódè omi ní ayé.
Photosynthesis converts light energy to chemical energy.,Ìṣeé̩dà onjẹ pẹ̀lú ìtànná ń ṣe àyípàdà agbára ìmọ́lẹ̀ sí agbára ẹ̀lá.
Cellular respiration releases energy from food.,Ìpòyìdà pádi ń tú agbára sílẹ̀ láti inú oúnjẹ.
The nucleus is the control center of the cell.,Àgọ́-pádi jé̩ ilé iṣẹ́ olùdarí fún pádi.
The cytoplasm is the cellular material outside the nucleus.,Ohun-inú pádi ni ohun tó wà nínú pádi ṣùgbọ́n tó wà ní ẹ̀yìn àgọ́-pádi.
The cell membrane controls what enters and leaves the cell.,Ìwọ̀ ohun-inú pádi ń darí ohun tó wọlé àti tó jáde lára pádi.
Mitochondria are the powerhouses of the cell.,Eya jé̩ ilé agbára nínú pádi.
Chloroplasts are where photosynthesis occurs in plant cells.,Èyàtúwà jé̩ ibi tí ìṣeé̩dà onjẹ pẹ̀lú ìtànná ti ń ṣẹlẹ̀ nínú àwọn pádi ògbìn.
The cell wall gives plant cells their rigid structure.,Àmọ̀ pádi ń fún àwọn pádi ògbìn ní ètò líle wọn.
Ribosomes are where proteins are made in the cell.,Àwọn àgọ́-ìfẹ́fẹ́ jé̩ ibi tí a ti ń ṣèdá àwọn òjẹ̀ nínú pádi.
Vacuoles store materials in the cell.,Àwọn àpò-àsètò ń tọ́jú àwọn ohun inú pádi.
The nervous system is divided into the central and peripheral systems.,"A pín ètò èṣọ-ara sí ònà méjì, ètò èṣọ t'ògangan̩ àti ètò èṣọ t'àgbèègbè."
The brain and spinal cord make up the central nervous system.,Ẹṣọ òp̣á-èhìn àti ọpọlọ ló jé̩ àpapò̩ èṣọ t'ògangan̩.
Neurons are the basic functional units of the nervous system.,Pádi èṣọ jé̩ ìpilẹ̀ṣẹ̀ ẹyọ iṣẹ́ ti ètò èṣọ.
Sensory neurons carry information from sensory organs to the brain.,Àwọn pádi èṣọ-iyè ń gbé ìròyìn láti àwọn èyà-ara ìyè lọ sọ́dọ̀ ọpọlọ.
Motor neurons carry commands from the brain to muscles.,Àwọn pádi èṣọ-ìmira ń gbé àṣẹ láti ọpọlọ lọ si àwọn iṣan.
"The human brain has three main parts: cerebrum, cerebellum, and brainstem.","Ọpọlọ ọmọ ènìyàn ní apá ẹlẹgbẹ̀ẹ̀ mẹ́ta: apá ìjọbá, apá ìṣeré, àti apá ipilẹ̀."
The respiratory system includes the lungs and air passages.,Ètò èy̩à-ìpòyìdà ara ni àwọn èdòfóró̩ àti àwọn ọ̀nà afẹ́.
Inhaled air contains oxygen needed by cells.,Afẹ́ ìmísí ní òyì-iná tí àwọn pádi nílò.
Exhaled air contains carbon dioxide produced by cells.,Afẹ́ ìmíjáde ní òyì-èédú tí àwọn pádi ti ṣèdá.
The diaphragm is the main muscle of respiration.,Iṣan-agbede jé̩ iṣan pàtàkì fún ìpòyìdà.
The alveoli are tiny air sacs where gas exchange occurs.,Àwọn àpò afẹ́ kékèké jé̩ ibi tí pàṣípààrò̩ òyì ti ń ṣẹlẹ̀.
Blood carries oxygen to tissues and carbon dioxide away from tissues.,"Èjẹ̀ ń gbé òyì-iná lọ sí àwọn ìṣù ara, ó sì ń mú òyì-èédú kúrò lára àwọn ìṣù."
The heart has four chambers: two atria and two ventricles.,Ọkàn ní yàrá mẹ́rin: yàrá òkè méjì àti yàrá ìsàlẹ̀ méjì.
The digestive system begins at the mouth and ends at the anus.,"Ètò èdà-onjẹ ara bẹ̀rẹ̀ láti ẹnu, ó sì parí sí ihò-ìdí."
The stomach contains acid that helps break down food.,Ikùn ní èdà kikoro tí ó ń ran àwọn oúnjẹ lọ́wọ́ láti fọ́.
The small intestine is where most nutrient absorption occurs.,Ìfun kékeré jé̩ ibi tí ìfàmun èròjà ti ń ṣẹlẹ̀ jùlọ.
The large intestine absorbs water and forms feces.,"Ìfun nlá ń fa omi mú, ó sì ń ṣèdá ìgbọnsẹ̀."
The liver produces bile to aid in fat digestion.,Èdọ̀ ̣nṣèdá òrónro láti ran àdàonjẹ òṛá lọ́wọ́.
The pancreas produces enzymes for digestion.,Èdò̩-òrónro nṣèdá àwọn ẹnísáìmù fún àdàonjẹ.
The urinary system filters waste from the blood.,Ètò èyà títò̩ ara ń ṣe àsẹ èjẹ̀ kúrò nínú èjẹ̀.
The kidneys filter blood to produce urine.,Àwọn iwe ń ṣe àsẹ èjẹ̀ láti mú ìtò̩ jáde.
The bladder stores urine until it is excreted.,Àpòòtò̩ ̣ń tọ́jú ìtò̩ títí tí a ó fi pọ̀ ọ́ jáde.
The reproductive system in males produces sperm.,Ètò bíbí ara tí ọkùnrin ń ṣèdá àtọ̀.
The reproductive system in females produces eggs.,Ètò bíbí ara tí obìnrin ń ṣèdá ẹyin.
Fertilization occurs when sperm meets egg.,Ìgbàrin ṣẹlẹ̀ nígbà tí àtọ̀ bá pàdé ẹyin.
Pregnancy begins when a fertilized egg implants in the uterus.,Oyún bẹ̀rẹ̀ nígbà tí ọlẹ̀ bá gbin ara rẹ̀ sínú ilé ọmọ'nú.
Menstruation is the shedding of the uterine lining.,Nkan oṣù jé̩ ìdànù ìwọ̀ ilé-ọmọ.
"The skeletal system is made up of bones, cartilage, and ligaments.","Ètò àjọ-eegun ara dá lórí àwọn egungun, òkèrékèré, àti àwọn ìṣù aparapọ̀."
The skull protects the brain.,Agbárí ń dáàbò bo ọpọlọ.
The ribcage protects the heart and lungs.,Àgbà ìhà ń dáàbò bo ọkàn àti àwọn èdòfóró̩.
The vertebral column protects the spinal cord.,Òp̣á èhìn ń dáàbò bo èṣọ òp̣á-èhìn.
Joints are where two or more bones meet.,Oríke jé̩ ibi tí egungun méjì tàbí jù bẹ́ẹ̀ lọ pàdé.
The muscular system is made up of three types of muscles.,Ètò iṣan ara dá lórí oríṣi iṣan mẹ́ta.
Skeletal muscles are attached to bones and allow voluntary movement.,"Àwọn iṣan eegun so mọ́ àwọn egungun, wọ́n sì ń fàyè gba ìmira àfẹ́só."
Smooth muscles control involuntary movements like digestion.,Àwọn iṣan ara ń darí àwọn ìmira àìfẹ́só bí àdàonjẹ.
Cardiac muscle is found only in the heart.,Iṣan ọkàn wà nínú ọkàn nìkan.
The endocrine system produces hormones that regulate body functions.,Ètò ẹṣé̩ àìlópo nṣèdá àwọn ojera tí ó ń ṣe àtóṣónà àwọn iṣẹ́ ara.
The thyroid gland regulates metabolism.,Ẹṣé̩ ìdí-ìkòkò òfun̩ ń ṣe àtóṣónà àsè ìjẹ ara.
The adrenal glands produce adrenaline in response to stress.,Àwọn ẹṣé̩ orí-iwe ń ṣèdá àwọn ojera fún ìdáhùn sí ìnira.
The immune system defends the body against pathogens.,Ètò òkí-ara nṣe ìdáàbò bo ara lówó̩ àwọn èyàwuuru afàìsàn.
